what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1478272914893
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1478272914893
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1478272914909
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1478272914909
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1478272914909
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1478272914909
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1478272914909
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1478272914909
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1478272914909
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1478272914909
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1478272914909
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1478272914909
os,sysinfo,,,"win32",1478272914925
arch,sysinfo,,,"x86",1478272914925
ws,sysinfo,,,"win32",1478272914925
locale,sysinfo,,,"en_CA",1478272914925
processors,sysinfo,,,"8",1478272914925
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478272914925
java.runtime.version,sysinfo,,,"1.8.0_101-b13",1478272914925
java.specification.name,sysinfo,,,"Java Platform API Specification",1478272914925
java.specification.vendor,sysinfo,,,"Oracle Corporation",1478272914925
java.specification.version,sysinfo,,,"1.8",1478272914925
java.vendor,sysinfo,,,"Oracle Corporation",1478272914925
java.version,sysinfo,,,"1.8.0_101",1478272914925
java.vm.info,sysinfo,,,"mixed mode",1478272914925
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1478272914925
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478272914925
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1478272914925
java.vm.specification.version,sysinfo,,,"1.8",1478272914925
java.vm.vendor,sysinfo,,,"Oracle Corporation",1478272914925
java.vm.version,sysinfo,,,"25.101-b13",1478272914925
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272931866
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1478272932519
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1478272932519
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1478272932519
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1478272932519
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1478272932519
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1478272932519
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1478272932535
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1478272932535
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1478272932535
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1478272932535
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1478272932675
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1478272932691
